Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
0,	756.750000,	3281.885010,	159.994995,	1432.880005,	19.129999,	3461.009951,	59.005001,	0.000000
1,	35.799999,	131.694992,	0.000000,	0.000000,	0.000000,	131.694996,	0.000000,	0.000000
2,	65.094994,	115.654999,	0.000000,	0.000000,	0.000000,	115.655001,	0.000000,	0.000000
3,	88.629997,	101.919998,	0.000000,	0.000000,	0.000000,	101.919998,	0.000000,	0.000000
4,	7.215000,	189.899994,	0.000000,	0.000000,	0.000000,	189.899995,	0.000000,	0.000000
5,	9.650001,	204.229996,	0.000000,	0.000000,	0.000000,	204.229998,	0.000000,	0.000000
6,	12.690000,	219.580002,	0.000000,	0.000000,	0.000000,	219.580004,	0.000000,	0.000000
7,	15.035000,	233.945007,	0.000000,	0.000000,	0.000000,	233.945003,	0.000000,	0.000000
8,	16.655001,	247.754990,	0.000000,	0.000000,	0.000000,	247.754992,	0.000000,	0.000000
9,	18.065001,	261.794983,	0.000000,	0.000000,	0.000000,	261.794988,	0.000000,	0.000000
10,	20.184999,	274.369995,	0.000000,	0.000000,	0.000000,	274.369989,	0.000000,	0.000000
11,	21.845001,	288.849976,	0.000000,	0.000000,	0.000000,	288.849987,	0.000000,	0.000000
12,	23.410000,	301.714996,	0.000000,	0.000000,	0.000000,	301.715003,	0.000000,	0.000000
13,	24.965000,	313.824982,	0.000000,	0.000000,	0.000000,	313.824986,	0.000000,	0.000000
14,	26.085001,	324.830017,	0.000000,	0.000000,	0.000000,	324.830013,	0.000000,	0.000000
15,	28.375000,	332.595001,	0.000000,	0.000000,	0.000000,	332.594996,	0.000000,	0.000000
16,	30.050001,	341.540009,	0.000000,	0.000000,	0.000000,	341.540009,	0.000000,	0.000000
17,	32.160000,	349.250000,	0.000000,	0.000000,	0.000000,	349.249999,	0.000000,	0.000000
18,	33.305000,	357.640015,	0.000000,	0.000000,	0.000000,	357.640001,	0.000000,	0.000000
19,	34.025002,	366.864990,	0.000000,	0.000000,	0.000000,	366.865000,	0.000000,	0.000000
20,	35.424999,	375.399994,	0.000000,	0.000000,	0.000000,	375.399988,	0.000000,	0.000000
21,	35.750000,	384.695007,	0.000000,	0.000000,	0.000000,	384.694992,	0.000000,	0.000000
22,	36.835003,	392.425018,	0.000000,	0.000000,	0.000000,	392.425005,	0.000000,	0.000000
23,	38.635002,	400.960022,	0.000000,	0.000000,	0.000000,	400.960007,	0.000000,	0.000000
24,	38.954998,	409.535004,	0.000000,	0.000000,	0.000000,	409.535009,	0.000000,	0.000000
25,	40.440002,	417.339996,	0.000000,	0.000000,	0.000000,	417.339987,	0.000000,	0.000000
26,	41.669998,	425.045013,	0.000000,	0.000000,	0.000000,	425.045004,	0.000000,	0.000000
27,	42.904999,	433.554993,	0.000000,	0.000000,	0.000000,	433.554987,	0.000000,	0.000000
28,	44.030003,	442.464996,	0.000000,	0.000000,	0.000000,	442.464991,	0.000000,	0.000000
29,	45.649998,	450.850006,	0.000000,	0.000000,	0.000000,	450.849995,	0.000000,	0.000000
30,	46.250000,	458.845001,	0.000000,	0.000000,	0.000000,	458.845009,	0.000000,	0.000000
31,	47.080002,	467.734985,	0.000000,	0.000000,	0.000000,	467.735001,	0.000000,	0.000000
32,	47.805000,	475.790009,	0.000000,	0.000000,	0.000000,	475.790012,	0.000000,	0.000000
33,	49.215000,	484.020020,	0.000000,	0.000000,	0.000000,	484.020008,	0.000000,	0.000000
34,	50.519997,	492.385010,	0.000000,	0.000000,	0.000000,	492.385014,	0.000000,	0.000000
35,	51.900002,	500.734985,	0.000000,	0.000000,	0.000000,	500.735001,	0.000000,	0.000000
36,	52.980000,	509.309998,	0.000000,	0.000000,	0.000000,	509.309986,	0.000000,	0.000000
37,	54.764999,	517.205017,	0.000000,	0.000000,	0.000000,	517.204990,	0.000000,	0.000000
38,	56.670002,	524.674988,	0.000000,	0.000000,	0.000000,	524.674999,	0.000000,	0.000000
39,	56.790001,	534.005005,	0.000000,	0.000000,	0.000000,	534.005001,	0.000000,	0.000000
